"threshold","tpr","fpr","precision","network","network_label","n","n_f"
0.23,1,0.0111731843575419,0.939393939393939,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.24,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.25,0.967741935483871,0.00558659217877095,0.967741935483871,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.26,0.935483870967742,0.00558659217877095,0.966666666666667,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.27,0.935483870967742,0.00558659217877095,0.966666666666667,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.28,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.29,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.3,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.31,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.32,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.33,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.34,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.35,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.36,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.37,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.38,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.39,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.4,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.41,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.42,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.43,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.44,0.903225806451613,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.45,0.903225806451613,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.46,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.47,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.48,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.49,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.5,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.51,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.52,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.53,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.54,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.55,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.56,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.57,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.58,0.870967741935484,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.59,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.6,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.61,0.838709677419355,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.62,0.806451612903226,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.63,0.806451612903226,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.64,0.806451612903226,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.65,0.806451612903226,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.66,0.806451612903226,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.67,0.741935483870968,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.68,0.741935483870968,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.69,0.741935483870968,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.7,0.741935483870968,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.71,0.741935483870968,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.72,0.741935483870968,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.73,0.67741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.74,0.67741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.75,0.67741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.76,0.67741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.77,0.67741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.78,0.67741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.79,0.645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.8,0.645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.81,0.645161290322581,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.82,0.516129032258065,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.83,0.516129032258065,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
0.84,0.516129032258065,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",60,"60"
