"tp","fp","fn","tn","precision","sensitivity","specificity","f1","shd","response_precision","response_recall","response_true_edges","network","n","rep"
29,9,2,131,0.763157894736842,0.935483870967742,0.935714285714286,0.840579710144928,21,1,1,7,"B_with_time",500,3
10,12,14,84,0.454545454545455,0.416666666666667,0.875,0.434782608695652,32,0.5,0.2,5,"A_baseline_only",20,4
16,27,15,113,0.372093023255814,0.516129032258065,0.807142857142857,0.432432432432432,49,0.8,0.571428571428571,7,"B_with_time",20,4
13,16,11,80,0.448275862068966,0.541666666666667,0.833333333333333,0.490566037735849,35,0.5,0.4,5,"A_baseline_only",30,4
20,21,11,119,0.48780487804878,0.645161290322581,0.85,0.555555555555556,42,0.833333333333333,0.714285714285714,7,"B_with_time",30,4
12,10,12,86,0.545454545454545,0.5,0.895833333333333,0.521739130434783,27,0.6,0.6,5,"A_baseline_only",40,4
19,11,12,129,0.633333333333333,0.612903225806452,0.921428571428571,0.622950819672131,33,1,0.714285714285714,7,"B_with_time",40,4
16,4,8,92,0.8,0.666666666666667,0.958333333333333,0.727272727272727,21,1,0.2,5,"A_baseline_only",50,4
18,19,13,121,0.486486486486487,0.580645161290323,0.864285714285714,0.529411764705882,44,0.857142857142857,0.857142857142857,7,"B_with_time",50,4
15,6,9,90,0.714285714285714,0.625,0.9375,0.666666666666667,21,1,0.6,5,"A_baseline_only",60,4
24,7,7,133,0.774193548387097,0.774193548387097,0.95,0.774193548387097,18,0.857142857142857,0.857142857142857,7,"B_with_time",60,4
20,1,4,95,0.952380952380952,0.833333333333333,0.989583333333333,0.888888888888889,16,1,0.6,5,"A_baseline_only",75,4
26,10,5,130,0.722222222222222,0.838709677419355,0.928571428571429,0.776119402985075,27,0.875,1,7,"B_with_time",75,4
21,8,3,88,0.724137931034483,0.875,0.916666666666667,0.792452830188679,20,0.571428571428571,0.8,5,"A_baseline_only",100,4
25,3,6,137,0.892857142857143,0.806451612903226,0.978571428571429,0.847457627118644,24,1,1,7,"B_with_time",100,4
21,2,3,94,0.91304347826087,0.875,0.979166666666667,0.893617021276596,22,1,0.8,5,"A_baseline_only",150,4
26,11,5,129,0.702702702702703,0.838709677419355,0.921428571428571,0.764705882352941,29,1,1,7,"B_with_time",150,4
22,4,2,92,0.846153846153846,0.916666666666667,0.958333333333333,0.88,18,1,1,5,"A_baseline_only",200,4
